Date,Account Name,Number,Description,Notes,Memo,Category,Type,Action,Reconcile,To With Sym,From With Sym,To Num.,From Num.,To Rate/Price,From Rate/Price
,,,,,,Telephone,S,,N,$22.40,,22.40,,1.00,
,,,,,,New Bank,S,,N,,-$22.40,,-22.40,,1.00
11/12/1996,Telephone,205,Pacific Bell,,,New Bank,T,,N,$24.58,,24.58,,,
,,,,,,Telephone,S,,N,$24.58,,24.58,,1.00,
,,,,,,New Bank,S,,N,,-$24.58,,-24.58,,1.00
12/07/1996,Telephone,216,Pacific Bell,,,New Bank,T,,N,$57.94,,57.94,,,
,,,,,,Telephone,S,,N,$57.94,,57.94,,1.00,
,,,,,,New Bank,S,,N,,-$57.94,,-57.94,,1.00
12/10/1996,Telephone,219,Pacific Bell,,,New Bank,T,,N,$25.43,,25.43,,,
,,,,,,Telephone,S,,N,$25.43,,25.43,,1.00,
,,,,,,New Bank,S,,N,,-$25.43,,-25.43,,1.00
07/16/1996,Education,171,Time,,,New Bank,T,,N,$29.97,,29.97,,,
,,,,,,Education,S,,N,$29.97,,29.97,,1.00,
,,,,,,New Bank,S,,N,,-$29.97,,-29.97,,1.00
12/05/1996,Auto Insurance,214,Insurance,,,New Bank,T,,N,$424.00,,424.00,,,
,,,,,,Auto Insurance,S,,N,$424.00,,424.00,,1.00,
,,,,,,New Bank,S,,N,,-$424.00,,-424.00,,1.00
11/18/1996,Leisure,209,LJ,,,New Bank,T,,N,$380.18,,380.18,,,
,,,,,,Leisure,S,,N,$380.18,,380.18,,1.00,
,,,,,,New Bank,S,,N,,-$380.18,,-380.18,,1.00
11/25/1996,Booze,211,LJ,,,New Bank,T,,N,$51.00,,51.00,,,
,,,,,,Booze,S,,N,$51.00,,51.00,,1.00,
,,,,,,New Bank,S,,N,,-$51.00,,-51.00,,1.00
09/23/1996,Student account,191,School,,,New Bank,T,,N,$127.52,,127.52,,,
,,,,,,Student account,S,,N,$127.52,,127.52,,1.00,
,,,,,,New Bank,S,,N,,-$127.52,,-127.52,,1.00
07/16/1996,Water,174,City,,,New Bank,T,,N,$44.00,,44.00,,,
,,,,,,Water,S,,N,$44.00,,44.00,,1.00,
,,,,,,New Bank,S,,N,,-$44.00,,-44.00,,1.00
07/16/1996,Water,175,City,,,New Bank,T,,N,$28.00,,28.00,,,
,,,,,,Water,S,,N,$28.00,,28.00,,1.00,
,,,,,,New Bank,S,,N,,-$28.00,,-28.00,,1.00
09/01/1996,Water,183,City,,,New Bank,T,,N,$22.00,,22.00,,,
,,,,,,Water,S,,N,$22.00,,22.00,,1.00,
,,,,,,New Bank,S,,N,,-$22.00,,-22.00,,1.00
